
2025/02/02 (19:18:17) | ===> btop++ v.1.4.0
2025/02/02 (19:18:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (23:02:17) | ===> btop++ v.1.4.0
2025/02/02 (23:02:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (18:19:43) | ===> btop++ v.1.4.0
2025/02/08 (18:19:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (16:13:42) | ===> btop++ v.1.4.0
2025/02/09 (16:13:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (18:40:32) | ===> btop++ v.1.4.0
2025/02/09 (18:40:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (18:41:02) | ===> btop++ v.1.4.0
2025/02/09 (18:41:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (18:43:19) | ===> btop++ v.1.4.0
2025/02/09 (18:43:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (19:49:25) | ===> btop++ v.1.4.0
2025/02/09 (19:49:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (18:35:12) | ===> btop++ v.1.4.0
2025/02/11 (18:35:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (23:40:49) | ===> btop++ v.1.4.0
2025/02/11 (23:40:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (23:41:53) | ===> btop++ v.1.4.0
2025/02/11 (23:41:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (20:54:53) | ===> btop++ v.1.4.0
2025/03/02 (20:54:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (21:01:02) | ===> btop++ v.1.4.0
2025/03/02 (21:01:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (21:05:16) | ===> btop++ v.1.4.0
2025/03/02 (21:05:16) | WARNING: Intel GPU: Failed to initialize PMU
